Source_PDF,English,PSA_Probability
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"To facilitate access to quality and affordable credit for MSMEs, the Government will: (i) Support the establishment and operationalization of a company or a special purpose vehicle with a minority Government shareholding to lead effective and efficient delivery of Government-linked credit guarantees to MSMEs; (ii) Develop a transparent and consistent risk -based pricing policy to enhance the attractiveness of the guarantee program to lenders and MSMEs; 24 (iii) Support in building capacity of micro and small enterprises to promote formalization of their operations and enable them harness growth opportunities; (iv) Promote use of credit score for credit appraisal; (v) Provide incentives to promote registration/formalization of MSMEs; and (vi) Sensitize MSMEs to improve their credit worthiness to benefit from lower interest rates and use of alternative forms of collateral.",0.882
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker, to provide fair treatment to both residents and non -residents offering excisable services, I propose to amend the Excise Duty Act to charge excisable services offered in Kenya by a non -resident through a digital platform.",0.8818
bulk_notice_35_Press-release-Cash-Accrual.pdf,"This transition will affect the National Government, County Governments, and their respective entities, ensuring greater transparency and accountability in financial reporting.",0.8813
bulk_notice_34_Press-release-Cash-Accrual_0.pdf,"This transition will affect the National Government, County Governments, and their respective entities, ensuring greater transparency and accountability in financial reporting.",0.8813
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,The Government of Kenya established a Credit Guarantee Scheme in 2020.,0.8809
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker, the Government continue s to invest in education to improve education outcomes and create a level playing fie ld for all children.",0.8796
bulk_notice_37_Public-Notice-Wildlife-Conversation-Fund-final.pdf,"1 | P a g e REPUBLIC OF KENYA THE NATIONAL TREASURY AND ECONOMIC PLANNING PUBLIC NOTICE DRAFT PUBLIC FINANCE MANAGEMENT (WILDLIFE CONSERVATION TRUST FUND) REGULATIONS, 2024 The State Department for Wildlife's core mandate is the provision of strategic policy, direction, and leadership in wildlife conservation and management in Kenya as provided for under Executive Order No.",0.8796
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker , to raise agricultural productivity and enhance resilience to climate change risks in targeted smallholder farming and pastoral communities, I propose an allocation of Ksh 340 million Towards Ending Drought Emergencies project.",0.8788
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,Public Participation and Involvement of Stakeholders ...................................................,0.8784
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,Public Participation and Involvement of Stakeholders 76.,0.8784
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,Public Participation and Involvement of Stakeholders 76.,0.8784
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,Public Participation and Involvement of Stakeholders ...................................................,0.8784
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Further, I have proposed Ksh 11.1 billion for the Kenya Primary Education Equity in Learning Program; Ksh 1.8 billion for Construction of Integrated Resource Centers; and Ksh 1.5 billion for Kenya Secondary Education Quality Improvement Project.",0.8772
bulk_notice_7_7.05.-2024-National-Tax-Policy_0.pdf,"The levels of compliance are mainly hindered by the technical and complex nature of tax laws and procedures, taxpayer apathy, high compliance cost, inadequate sharing of taxpayer information among National and County Government agencies, lack of physical presence of KRA offices in some regions of Kenya and low tax literacy among citizens.",0.8761
bulk_notice_16_7.05.-2024-National-Tax-Policy.pdf,"The levels of compliance are mainly hindered by the technical and complex nature of tax laws and procedures, taxpayer apathy, high compliance cost, inadequate sharing of taxpayer information among National and County Government agencies, lack of physical presence of KRA offices in some regions of Kenya and low tax literacy among citizens.",0.8761
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,5 billion for Emergency Locust Response; Ksh 2.4 billion for the Enable Youth and Women in Agriculture; Ksh 747.0 million for Small Scale Irrigation and Value Addition Project; and Ksh 642.5 million for the Food Security and Crop Diversification Project.,0.8756
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Water Towers Agency 28.08.2024 9:00 a.m- 9:30 a.m.,0.8755
bulk_notice_37_Public-Notice-Wildlife-Conversation-Fund-final.pdf,"Wildlife Clubs of Kenya 5th December, 2024 10.00 am 6.",0.8751
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,"Some of the measures implemented include:  Provided essential food, temporary shelters, and a Ksh.1 billion for rebuilding school infrastructure, with Ksh.",0.8746
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"This will further provide an incentive for lenders to pass concessionary benefits to MSMEs; (vii) Promotes financial inclusion of specific target MSMEs (including those owned by women, youth and PwDs); 13 (viii) Catalyzes formalization of businesses by incentivizing transition of those currently in the informal sector to the formal sector; (ix) Prescribe guiding principles for credit guarantees in Kenya; (x) To promote investment and growth of credit guarantees as a risk sharing mechanism in Kenya; and (xi) Facilitate collaborations and partnerships among credit guarantees and other institutions.",0.8722
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"These shocks include: one, Global COVID-19 pandemic; two, Global supply chain disruptions ; and three, effects of climate change from the prolonged drought in 2021 to the current floods in 2024.",0.8716
bulk_notice_4_Draft-Government-Owned-Enterprises-Bill-2024-2.pdf,"PART V of the Bill under clause 29 seeks to provide for Public Service Obligations of the Government Owned Enterprises, Clause 30 seeks to provide for proposals of Public Service Obligations and Clause 31 seeks to stipulate enforcement of Public Service Obligations.",0.871
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker , to improve livestock production, I propose : Ksh 2.4 billion for De - Risking, Inclusion and Value Enhancement of Pastoral Economies Programme; Ksh 1.5 billion for Livestock Value Chain Support Project; Ksh 1.5 billion for Kenya Livestock Commercialization Programme; and Ksh 192.5 million for the Embryo Transfer Project.",0.8705
bulk_notice_4_Draft-Government-Owned-Enterprises-Bill-2024-2.pdf,(7) The Public Service Obligations under a Public service Obligation agreement shall be binding.,0.8695
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,The 2024 BROP forms the basis for the development of the 2025 BPS that will detail the progress in the implementation of the priority policies and strategies of the Government under BETA as prioritized in the MTP IV of the Vision 2030; and preparation of the FY 2025/26 and the medium-term budget that will be guided by the Budget Calendar.,0.8694
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Animal Genetic Resource Centre 19.08.2024 12:45 p.m- 1:15 p.m.,0.8694
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,The 2024 BROP forms the basis for the development of the 2025 BPS that will detail the progress in the implementation of the priority policies and strategies of the Government under BETA as prioritized in the MTP IV of the Vision 2030; and preparation of the FY 2025/26 and the medium-term budget that will be guided by the Budget Calendar.,0.8694
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"This will be presented to Cabinet for approval by 15 th January, 2025 and subsequently to Parliament by 15th February, 2025; iii) Preparation of draft Budget Estimates and Finance Bill, 2025: The draft Budget Estimates and Finance Bill, 2025 will be submitted to Cabinet by 18th April, 2025 and later to Parliament by 29th April, 2025; and iv) Presentation of the Budget Statement/Speech to Parliament is scheduled for 12th June, 2025 and approval and assent of both the Appropriation Bill , 2025 and Finance Bill, 2025 by 30th June, 2025.",0.8689
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"This will be presented to Cabinet for approval by 15 th January, 2025 and subsequently to Parliament by 15th February, 2025; iii) Preparation of draft Budget Estimates and Finance Bill, 2025: The draft Budget Estimates and Finance Bill, 2025 will be submitted to Cabinet by 18th April, 2025 and later to Parliament by 29th April, 2025; and iv) Presentation of the Budget Statement/Speech to Parliament is scheduled for 12th June, 2025 and approval and assent of both the Appropriation Bill , 2025 and Finance Bill, 2025 by 30th June, 2025.",0.8689
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Consumers Protection Advisory Committee 21.08.2024 3.00 p.m.,0.8688
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker, to strengthen economic recovery, the Government will accelerate implementation of policies, programs, projects and interventions in BETA to: i) enhance agricultural transformation; ii) support Micro, Small and Medium Enterprises ; iii) provide affordable housing and settlement; iv) achieve universal healthcare; and v) support growth of digital superhighway and creative economy for job creation.",0.8686
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,The System consolidate s human resource and payroll data in the Public Service for access through a single warehouse.,0.8685
bulk_notice_37_Public-Notice-Wildlife-Conversation-Fund-final.pdf,"These Public Finance Management (Wildlife Conservation Trust Fund) were earlier published in December 2023 but are republished on the directions of Parliament to: - ensure alignment of both Section 23 (1) and (2) of the Wildlife Conservation and Management Act, 2013 (as amended) and Section 24 (4) of the Public Finance Management Act, 2012; - include a 1 % levy of revenues realized from fees charged for entrance to parks, reserves, conservancies, and sanctuaries to support conservation activities.",0.8683
bulk_notice_7_7.05.-2024-National-Tax-Policy_0.pdf,"02 of 2023 ii © Government of the Republic of Kenya, 2023 To obtain copies of the National Tax Policy, please contact: Public Relations Office The National Treasury Treasury Building Harambee Avenue P.",0.8679
bulk_notice_16_7.05.-2024-National-Tax-Policy.pdf,"02 of 2023 ii © Government of the Republic of Kenya, 2023 To obtain copies of the National Tax Policy, please contact: Public Relations Office The National Treasury Treasury Building Harambee Avenue P.",0.8679
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Mr Speaker , to enhance public knowledge and literacy on tax matters, I propose to amend the K enya Revenue Authority Act to enable the Kenya School of Revenue Administration collaborate with other institutions of higher learning , develop curriculum, assess, examine students and award certificates in tax matters.",0.8672
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,b) Capacity Building County Governments on Public Finance Management 55.,0.8671
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,b) Capacity Building County Governments on Public Finance Management 55.,0.8671
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"On December 8, 2020, the Government of Kenya (GoK), through the National Treasury, rolled out a pilot Credit Guarantee Scheme to respond to challenges facing MSMEs, and in particular access to quality and affordable credit.",0.8671
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,National Water Harvesting and Storage Authority 29.08.2024 3.00 p.m.,0.8669
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,The Government continues to support livestock farming as part of value chain addition.,0.8664
bulk_notice_37_Public-Notice-Wildlife-Conversation-Fund-final.pdf,"There shall be in -person meetings for public consultations on the above Public Finance Management (Wildlife Conservation Trust Fund) Regulations, 2024 as per the schedule below: - Stakeholder Dates for meeting Time for meeting 1.",0.8662
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Agriculture Information and Resource Centre 20.08.2024 3.30 p.m.,0.8658
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"This will be presented to Cabinet fo r approval by 15 th January, 2025 and subsequently to Parliament by 15th February, 2025; iii) Preparation of draft Budget Estimates and Finance Bill, 2025: The draft Budget Estimates and Finance Bill, 2025 will be submitted to Cabinet by 18 th April, 2025 and lat er to Parliament by 29th April, 2025; and iv) Presentation of the Budget Statement/Speech to Parliament is scheduled for 12th June, 2025 and approval and assent of both the Appropriation Bill, 2025 and Finance Bill, 2025 by 30th June, 2025.",0.8658
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,The objective of the scheme was to support MSME businesses stay afloat and safeguard employment during and after the Covid-19 pandemic.,0.8658
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"This will be presented to Cabinet fo r approval by 15 th January, 2025 and subsequently to Parliament by 15th February, 2025; iii) Preparation of draft Budget Estimates and Finance Bill, 2025: The draft Budget Estimates and Finance Bill, 2025 will be submitted to Cabinet by 18 th April, 2025 and lat er to Parliament by 29th April, 2025; and iv) Presentation of the Budget Statement/Speech to Parliament is scheduled for 12th June, 2025 and approval and assent of both the Appropriation Bill, 2025 and Finance Bill, 2025 by 30th June, 2025.",0.8658
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"Investment will also benefit from an increased focus on Public Private Partnerships (PPPs), following the near completion of the harmonization of the Public Investment Policy, which will align PPP and Public Investment Management frameworks.",0.8647
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"Investment will also benefit from an increased focus on Public Private Partnerships (PPPs), following the near completion of the harmonization of the Public Investment Policy, which will align PPP and Public Investment Management frameworks.",0.8647
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,In order to address inadequate communication on credit guarantees the Government will: (i) Support the development of an effective communication strategy to enhance awareness of the benefits of credit guarantees to relevant stakeholders; (ii) Support in disseminating targeted awareness on credit guarantees; and (iii) Leverage on existing communication channels to reach MSMEs.,0.8645
bulk_notice_4_Draft-Government-Owned-Enterprises-Bill-2024-2.pdf,"(3) A Government Owned Enterprise which also performs Public Service Obligations shall operate on a commercial basis and shall, for the purpose of financing the achievement of Public Service Obligations, be funded through the Government budgetary resources.",0.8643
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,Allocations to the sector include: Ksh 4.2 billion Universal Health Coverage Coordination and Management Unit; Ksh 4.6 billion Specialized Medical Equipment and Stipend for Community Health Promoters; Ksh 2.0 billion Free Maternity Health Care; Ksh 3.6 billion Managed Equipment Services; 3.,0.863
bulk_notice_33_PUBLIC-NOTICE%202.pdf,"In exercise of this mandate, Section 7(2)© of the Act requires the National Treasury to design and prescribe an efficient procurement management system for the national and county governments to ensure transparent procurement and asset disposal as contemplated by Article 227 of the Constitution: Provided that the National Treasury shall prescribe through Regulations a system under this paragraph which operates, respects and promotes the distinctiveness of the national and county levels of government; The Public Procurement and Asset Disposal Act 2015 came into effect in January 2016.",0.8623
bulk_notice_8_PUBLIC-NOTICE%203.pdf,"In exercise of this mandate, Section 7(2)© of the Act requires the National Treasury to design and prescribe an efficient procurement management system for the national and county governments to ensure transparent procurement and asset disposal as contemplated by Article 227 of the Constitution: Provided that the National Treasury shall prescribe through Regulations a system under this paragraph which operates, respects and promotes the distinctiveness of the national and county levels of government; The Public Procurement and Asset Disposal Act 2015 came into effect in January 2016.",0.8623
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Industrial Protection Institute 22.08.2024 2:30 p.m.,0.8621
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"In the FY 2023/24, all the county governments were in compliance with this legal requirement.",0.8616
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"In the FY 2023/24, all the county governments were in compliance with this legal requirement.",0.8616
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,"Key allocations include: Ksh 71.0 billion Free primary and Day Secondary Education Ksh 30.7 billion Junior Secondary School Capitation Ksh 3.0 billion School Feeding Programme Ksh 5.0 billion Examinations Fee Waiver Ksh 358.2 billion of which: Teachers Service Commission Ksh 13.3 billion Conversion of JSS teachers to permanent and pensionable Ksh 1.3 billion Competency Based Curriculum (CBC) Training of Teachers Ksh 11.1 billion Kenya Primary Education Equity in Learning Ksh 6.0 billion Infrastructure Development in Primary and Secondary Schools Ksh 150 million ICT Integration in Secondary Schools Ksh 62.8 billion Higher Education Loans Board (HELB) and Other Scholarships Ksh 71.9 billion University Education Ksh 700 million Research, Science, Technology and Innovation Protection for Vulnerable Groups The Government continues with programmes aimed at protecting vulnerable segment of our society.",0.8615
bulk_notice_16_7.05.-2024-National-Tax-Policy.pdf,"Conduct staff and taxpayer awareness programs on the refund processing procedures including lodgement of the refund claim, assessment, approval and payment.",0.8609
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Speaker, the Government is committed and determined to realise the constitutional right to health by promoting access to quality and affordable healthcare th rough the Universal Health Coverage Programme.",0.8609
bulk_notice_7_7.05.-2024-National-Tax-Policy_0.pdf,"Conduct staff and taxpayer awareness programs on the refund processing procedures including lodgement of the refund claim, assessment, approval and payment.",0.8609
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,This calls for proper prioritization to ensure that our expenditures goes to the most impactful programmes with the highest welfare benefits to Kenya ns.,0.8598
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,This calls for proper prioritization to ensure that our expenditures goes to the most impactful programmes with the highest welfare benefits to Kenya ns.,0.8598
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"In FY 2025/26 and the medium term, resource allocation for the priority programmes will be done through a value chain approach under five clusters namely: i) Finance and Production; ii) Infrastructure; iii) Environment and Natural Resources; iv) Social Sectors; and v) Governance and Public Administration.",0.8598
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"In FY 2025/26 and the medium term, resource allocation for the priority programmes will be done through a value chain approach under five clusters namely: i) Finance and Production; ii) Infrastructure; iii) Environment and Natural Resources; iv) Social Sectors; and v) Governance and Public Administration.",0.8598
bulk_notice_16_7.05.-2024-National-Tax-Policy.pdf,g) To enhance public participation and accountability in the formulation of tax laws.,0.8596
bulk_notice_7_7.05.-2024-National-Tax-Policy_0.pdf,g) To enhance public participation and accountability in the formulation of tax laws.,0.8596
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Further, the Government will roll out the Public Investment 56 Management Information System to all MDAs to improve the management of development projects in the country.",0.8596
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Tsetse and Trypanasomiasis Eradication Council 19.08.2024 10:00 a.m.,0.8592
bulk_notice_36_VIRTUAL-ASSET-SERVICE-PROVIDERS-BILL-2024.pdf,"Every virtual asset service provider shall at all times— (a) provide services honestly and fairly; (b) maintain and hold the prescribed capital requirements; (c) manage any actual and potential conflicts of interest related to its services; (d) have adequate technological, financial and human resources to discharge its services; (e) comply with the full range of AML/CFT/ CPF preventive measures, including targeted financial sanctions obligations; (f) have its annual financial statement audited; (g) open and operate a bank account in Kenya for the purposes of this Act; (h) ensure that recording, storing, protecting and transmission of the data processed by it is in accordance with laws in Kenya; (i) ensure that all marketing and promotional materials are fair, clear, transparent and not misleading; The Virtual Asset Service Providers Bill, 2025 22 (j) plan for business continuity and disaster recovery in the event of an incident or a disaster; (k) have in place a mechanism for handling customer complaints; (l) have in place a mechanism for protecting whistle-blowers; (m) take reasonable steps to prevent market abuse and ensure the integrity and transparency of the financial market; (n) take reasonable steps and measures to maintain an effective consumer education program for the virtual asset in which it deals; (o) take reasonable steps to ensure that employees and persons acting on its behalf comply with the provisions of this Act or any other relevant law; (p) maintain competence to provide the virtual asset services; (q) if offering for sale a virtual asset, conduct due diligence on the virtual asset and its issuer, taking into account the requirements of this Act and any other relevant law; (r) take reasonable steps to ensure that the beneficial owners are fit and proper; (s) take reasonable steps to ensure that its beneficial owners or natural person employed by, or associated with, the virtual asset service providers comply with this Act and all applicable laws in Kenya; (t) take reasonable steps to ensure that its beneficial owners or natural person employed by, or associated with, the virtual asset service providers comply with the code of conduct of virtual asset service provider’s set out by the relevant regulatory authority; The Virtual Asset Service Providers Bill, 2025 23 (u) take reasonable steps to ensure that its beneficial owners or natural person employed by, or associated with, the virtual asset service providers comply with the conditions of licence issued by the relevant regulatory authority; and (v) take reasonable steps to ensure that its beneficial owners or natural person employed by, or associated with, the virtual asset service providers are competent to provide the virtual assets services.",0.8586
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"Fiscal Responsibility Principles in the Public Finance Management Act In line with the Constitution, the Public Finance Management (PFM) Act, 2012, sets out the fiscal responsibility principles to ensure prudent and transparent management of public resources.",0.8582
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"Fiscal Responsibility Principles in the Public Finance Management Act In line with the Constitution, the Public Finance Management (PFM) Act, 2012, sets out the fiscal responsibility principles to ensure prudent and transparent management of public resources.",0.8582
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"2.3.2 Status of Credit Guarantees in Kenya The National Economic Social Council (NESC) report 2014, estimated the total value of all credit guarantee schemes in Kenya’s banking sector to be approximately KSh 30 billion.",0.8575
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,County development budget execution has been constrained by the inability of County Governments in their realisation of their OSR and delays in transfer disbursements by the National Government.,0.8571
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,County development budget execution has been constrained by the inability of County Governments in their realisation of their OSR and delays in transfer disbursements by the National Government.,0.8571
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"The preparation of MTEF Sector Budget proposals will culminate in the Public Sector Hearings on 20th November, 2024; ii) 2025 Budget Policy Statement: Preparation of the 2025 BPS will commence after approval of this 2024 BROP and will be informed by the budget proposals by the Sector Working Groups.",0.8565
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"The preparation of MTEF Sector Budget proposals will culminate in the Public Sector Hearings on 20th November, 2024; ii) 2025 Budget Policy Statement: Preparation of the 2025 BPS will commence after approval of this 2024 BROP and will be informed by the budget proposals by the Sector Working Groups.",0.8565
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Kenya Wildlife Service 30.08.2024 11:15 a.m.,0.8559
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Agriculture Development Corporation 20.08.2024 3.00 p.m.,0.855
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"In order to promote this industry and enhance incomes to our pastoral farmers, the Ministers agreed to retain a stay of application of import duty on imported leather bags at 35 % for Kenya.",0.8545
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,"Environmental Protection, Water and Natural Resources To support environment and water conservation and respond to climate change , the following allocations have been set aside for the FY 2024/25: Ksh 73.1 billion Expand Access to Clean and Adequate Water for Domestic and Agricultural Use; Ksh 10.7 billion Forests Resources Conservation and Management; Ksh 1.7 billion Forests Research and Development; Ksh 5.9 billion Kenya Financing Locally Led Climate Action Project; Ksh 2.7 billion Environment Management and Protection; Ksh 1.6 billion Meteorological Service; and Ksh 13.1 billion Wildlife security, conservation and management.",0.8544
bulk_notice_17_Budget-Highlights-The-Mwananchi-Guide-for-the-FY-2024-25-Budget.pdf,"Key proposed allocations to the sector include: Ksh 4.5 billion Establishment of County Integrated Agro-Industrial Parks; Ksh 1.9 billion Finance & Enterprise Recovery (SAFER) Project; Ksh 1.0 billion Kenya Jobs Economic Transformation (KJET); Ksh 440 million Development of SEZ Textile Park Naivasha; Ksh 1.5 billion Sugar Reforms; and Ksh 1.3 billion Kenya Industry and Entrepreneurship Project Government will develop demand driven programmes to bridge gaps in TVETs Launch of Regional Counterterrorism Training Centre in Kitui County To combat crime, the Government has invested in modern equipment.",0.8537
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,"The prepa ration of MTEF Sector Budget proposals will culminate in the Public Sector Hearings on 20th November, 2024; ii) 2025 Budget Policy Statement: Preparation of the 2025 BPS will commence after approval of this 2024 BROP and will be informed by the budget proposal s by the Sector Working Groups.",0.8536
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,"The prepa ration of MTEF Sector Budget proposals will culminate in the Public Sector Hearings on 20th November, 2024; ii) 2025 Budget Policy Statement: Preparation of the 2025 BPS will commence after approval of this 2024 BROP and will be informed by the budget proposal s by the Sector Working Groups.",0.8536
bulk_notice_28_Advert-Sector-Launch-2025-2026-and-MTEF.pdf,This advertisement is placed for general public information.,0.8535
bulk_notice_4_Draft-Government-Owned-Enterprises-Bill-2024-2.pdf,31— Implementation of Public Service Obligations.,0.8534
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Further, to ensure competitiveness of textile products that are produced locally in sufficient quantities, Kenya was granted a stay of application and will apply a higher duty rate of 35 % .",0.8533
bulk_notice_22_Schedule-of-Submission-by-the-General-Public-.pdf,Wildlife Clubs of Kenya 30.08.2024 10:45 a.m.,0.8531
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"The policy measures to be undertaken by the Government in ensuring underserved sectors access credit include: (i) Invest in suitable credit guarantees to promote access to credit for targeted sectors; (ii) Work with relevant institutions in developing targeted products to meet the different needs of MSMEs in key economic sectors, underserved counties, businesses owned by women, youth and PwDs, and high potential start-ups; (iii) Collaborate with relevant counties and MDAs to enable more MSMEs to access the available credit guarantees; and (iv) Develop a green strategy for Integrating Climate Change Mitigation and Adaptation into its operations and in enhancing access to credit to finance green projects.",0.8517
bulk_notice_24_Draft-2024-Budget-Review-and-Outlook-Paper_0.pdf,Article 176 of the Constitution establishes County Governments consisting of county assemblies and county executives.,0.8514
bulk_notice_31_Draft-2024-Budget-Review-and-Outlook-Paper.pdf,Article 176 of the Constitution establishes County Governments consisting of county assemblies and county executives.,0.8514
bulk_notice_18_2024-Budget-Statement-for-the-FY-2024-25F.pdf,"Further, to strengthen the capacity of medical personnel, I 70 have proposed Ksh 3.7 billion for Medical Interns; Ksh 406 million for training of Health Personnel; and Ksh 8.6 billion for the Kenya Medical Training Centres.",0.8509
bulk_notice_1_THE-NATIONAL-TREASURY-AND-ECONOMIC-PLANNING-DRAFT-CREDIT-GUARANTEE-POLICY-2024.pdf,"However, there is a need to ensure that the interests of the borrower, lender and guarantor are also protected.",0.8505
bulk_notice_16_7.05.-2024-National-Tax-Policy.pdf,"To achieve this objective, the Government will: a) Explore ways of enhancing the taxation of property transfer s including land and agricultural sector; b) Explore ways of enhancing taxation of informal sectors including through increasing KRA’s presence in big town and cities; c) Exploring mechanism for collecting taxes from the informal sector such as appointment of tax collection agents; d) Roll out education programmes to farmers and informal sector groups on taxation; e) Enhance collaborations and exchange of information on taxpayers between the National Government and County Governments.",0.8503
bulk_notice_7_7.05.-2024-National-Tax-Policy_0.pdf,"To achieve this objective, the Government will: a) Explore ways of enhancing the taxation of property transfer s including land and agricultural sector; b) Explore ways of enhancing taxation of informal sectors including through increasing KRA’s presence in big town and cities; c) Exploring mechanism for collecting taxes from the informal sector such as appointment of tax collection agents; d) Roll out education programmes to farmers and informal sector groups on taxation; e) Enhance collaborations and exchange of information on taxpayers between the National Government and County Governments.",0.8503
bulk_notice_37_Public-Notice-Wildlife-Conversation-Fund-final.pdf,"Kenya Wildlife Service (KWS) 5th December, 2024 10.00 am 3.",0.8502
